piso,cama,coord_x,coord_y
1A,101A,1,1
1A,102A,1,2
1A,103A,1,3
1A,104A,1,4
1A,109A,1,5
1A,110A,2,5
1A,111A,3,5
1A,112A,4,5
1A,113A,1,6
1A,114A,2,6
1A,115A,3,6
1A,116A,4,6
1A,117A,1,7
1A,118A,2,7
1A,119A,3,7
1A,120A,4,7
1A,124A,1,8
1A,125A,1,9
1A,126A,2,9
1A,127A,3,9
1A,128A,4,9
1A,129A,1,10
1A,130A,2,10
1A,131A,3,10
1A,132A,4,10
1A,133A,1,11
1A,134A,2,11
1A,135A,3,11
1A,136A,4,11
1A,137A,1,11
1A,138A,2,11
1A,139A,3,11
1A,140A,4,11
1A,141A,1,12
1A,142A,2,12
1A,143A,3,12
1A,144A,4,12
1A,145A,5,12
1A,146A,6,12
2A,200A,1,1
2A,201A,1,2
2A,202A,1,3
2A,203A,1,4
2A,204A,1,5
2A,205A,1,6
2A,206A,1,7
2A,207A,1,8
2A,208A,1,9
2A,209A,1,10
2A,210A,1,11
2A,211A,1,12
2A,212A,1,13
2A,213A,1,14
2A,214A,1,15
2A,215A,1,16
2A,216A,1,17
2A,217A,1,18
2A,218A,1,19
2A,219A,1,20
2A,220A,1,21
2A,221A,1,22
2A,222A,1,23
2A,223A,1,24
3A,301A,1,1
3A,302A,1,2
3A,303A,1,3
3A,304A,1,4
3A,305A,1,5
3A,306A,1,6
3A,307A,1,7
3A,308A,1,8
3A,309A,1,9
3A,310A,1,10
3A,311A,1,11
3A,312A,1,12
3A,313A,1,13
3A,314A,1,14
3A,315A,1,15
3A,316A,1,16
3A,317A,1,17
3A,318A,1,18
3A,319A,1,19
3A,320A,1,20
3A,321A,1,21
3A,322A,1,22
3A,323A,1,23
3A,324A,1,24
4A,401A,1,1
4A,402A,1,2
4A,403A,1,3
4A,404A,1,4
4A,405A,1,5
4A,406A,1,6
4A,407A,1,7
4A,408A,1,8
4A,409A,1,9
4A,410A,1,10
4A,411A,1,11
4A,412A,1,12
4A,413A,1,13
4A,414A,1,14
4A,415A,1,15
4A,416A,1,16
4A,417A,1,17
4A,418A,1,18
4A,419A,1,19
4A,420A,1,20
4A,421A,1,21
4A,422A,1,22
4A,423A,1,23
4A,424A,1,24
TMO,121B,1,1
TMO,122B,2,1
TMO,123B,3,1
TMO,124B,4,1
TMO,125B,5,1
TMO,126B,6,1
TMO,127B,1,2
TMO,128B,1,3
TMO,129B,1,4
UTR,UTR1,1,1
UTR,UTR2,1,2
UTR,UTR3,1,3
UTR,UTR4,1,4
UTR,UTR5,1,5
UTR,UTR6,1,6
UTR,UTR7,1,7
UTR,UTR8,1,8
UTR,UTR9,1,9
UCI,UCI1,1,1
UCI,UCI2,2,1
UCI,UCI3,3,1
UCI,UCI4,4,1
UCI,UCI5,5,1
UCI,UCI6,6,1
UCI,UCI7,7,1
UCI,UCI8,8,1
UCI,UCI9,9,1
UCI,UCI10,10,1
UCI,UCI11,1,2
UCI,UCI12,2,2
UCI,UCI13,3,2
UCI,UCI14,4,2
UCI,UCI15,5,2
UCI,UCI16,6,2
UCI,UCI17,7,2
UCI,UCI18,8,2
UCI,UCI19,9,2
UCI,UCI20,10,2
2B Sur,201B,1,1
2B Sur,202B,2,1
2B Sur,203B,3,1
2B Sur,204B,1,2
2B Sur,205B,1,2
2B Sur,206B,1,2
2B Sur,207B,1,3
2B Sur,208B,2,3
2B Sur,209B,1,4
2B Sur,210B,2,4
2B Sur,211B,1,5
2B Sur,212B,2,5
2B Sur,213B,1,6
2B Sur,214B,1,7
2B Sur,215B,1,8
2B Sur,216B,2,8
2B Sur,217B,1,9
2B Sur,218B,2,9
2B Sur,219B,1,10
2B Sur,220B,2,10
2B Sur,221B,1,11
2B Sur,222B,1,12
2B Sur,223B,1,13
2B Sur,224B,1,14
2B Sur,225B,2,14
2B Sur,226B,3,14
2B Norte,227B,1,1
2B Norte,228B,2,1
2B Norte,229B,3,1
2B Norte,230B,1,2
2B Norte,231B,1,3
2B Norte,232B,1,4
2B Norte,233B,1,5
2B Norte,234B,2,5
2B Norte,235B,1,6
2B Norte,236B,2,6
2B Norte,237B,1,7
2B Norte,238B,2,7
2B Norte,239B,1,8
2B Norte,240B,1,9
2B Norte,241B,1,10
2B Norte,242B,2,10
2B Norte,243B,1,11
2B Norte,244B,2,11
2B Norte,245B,1,12
2B Norte,246B,2,12
2B Norte,247B,1,13
2B Norte,248B,1,14
2B Norte,249B,1,15
2B Norte,250B,1,16
2B Norte,251B,2,17
2B Norte,252B,3,17
3B Sur,301B,1,1
3B Sur,302B,2,1
3B Sur,303B,3,1
3B Sur,304B,1,2
3B Sur,305B,1,2
3B Sur,306B,1,2
3B Sur,307B,1,3
3B Sur,308B,2,3
3B Sur,309B,1,4
3B Sur,310B,2,4
3B Sur,311B,1,5
3B Sur,312B,2,5
3B Sur,313B,1,6
3B Sur,314B,1,7
3B Sur,315B,1,8
3B Sur,316B,2,8
3B Sur,317B,1,9
3B Sur,318B,2,9
3B Sur,319B,1,10
3B Sur,320B,2,10
3B Sur,321B,1,11
3B Sur,322B,1,12
3B Sur,323B,1,13
3B Sur,324B,1,14
3B Sur,325B,2,14
3B Sur,326B,3,14
3B Norte,327B,1,1
3B Norte,328B,2,1
3B Norte,329B,3,1
3B Norte,330B,1,2
3B Norte,331B,1,3
3B Norte,332B,1,4
3B Norte,333B,1,5
3B Norte,334B,2,6
3B Norte,335B,1,7
3B Norte,336B,2,7
3B Norte,337B,1,8
3B Norte,338B,2,8
3B Norte,339B,1,9
3B Norte,340B,1,10
3B Norte,341B,2,10
3B Norte,342B,1,11
3B Norte,343B,2,11
3B Norte,344B,1,12
3B Norte,345B,1,13
3B Norte,346B,1,14
3B Norte,347B,1,15
3B Norte,348B,2,15
3B Norte,349B,3,15
4B Sur,401B,1,1
4B Sur,402B,2,1
4B Sur,403B,3,1
4B Sur,404B,1,2
4B Sur,405B,1,3
4B Sur,409B,1,4
4B Sur,410B,1,5
4B Sur,411B,2,5
4B Sur,412B,1,6
4B Sur,413B,2,6
4B Sur,414B,1,7
4B Sur,415B,2,7
4B Sur,416B,1,8
4B Sur,417B,1,8
4B Sur,418B,1,8
4B Sur,419B,1,9
4B Sur,420B,2,9
4B Sur,421B,3,9
4B Norte,422B,1,1
4B Norte,423B,2,1
4B Norte,424B,3,1
4B Norte,425B,1,2
4B Norte,426B,1,3
4B Norte,427B,1,4
4B Norte,428B,1,5
4B Norte,429B,2,5
4B Norte,430B,1,6
4B Norte,431B,2,6
4B Norte,432B,1,7
4B Norte,433B,2,7
4B Norte,434B,1,8
4B Norte,435B,1,9
4B Norte,436B,1,10
4B Norte,437B,2,10
4B Norte,438B,1,11
4B Norte,439B,2,11
4B Norte,440B,1,12
4B Norte,441B,2,12
4B Norte,442B,1,13
4B Norte,443B,1,14
4B Norte,444B,1,15
4B Norte,445B,1,16
4B Norte,446B,2,16
4B Norte,447B,3,16
5B Sur,501B,1,1
5B Sur,502B,2,1
5B Sur,503B,3,1
5B Sur,504B,1,2
5B Sur,505B,1,3
5B Sur,506B,1,4
5B Sur,507B,1,5
5B Sur,508B,2,5
5B Sur,509B,1,6
5B Sur,510B,2,6
5B Sur,511B,1,7
5B Sur,512B,2,7
5B Sur,513B,1,8
5B Sur,514B,1,9
5B Sur,515B,1,10
5B Sur,516B,2,10
5B Sur,517B,1,11
5B Sur,518B,2,11
5B Sur,519B,1,12
5B Sur,520B,2,12
5B Sur,521B,1,13
5B Sur,522B,1,14
5B Sur,523B,1,15
5B Sur,524B,1,16
5B Sur,525B,2,16
5B Sur,526B,3,16
5B Norte,527B,1,1
5B Norte,528B,2,1
5B Norte,529B,3,1
5B Norte,530B,1,2
5B Norte,531B,1,3
5B Norte,532B,1,4
5B Norte,533B,1,5
5B Norte,534B,2,5
5B Norte,535B,1,6
5B Norte,536B,2,6
5B Norte,537B,1,7
5B Norte,538B,2,7
5B Norte,539B,1,8
5B Norte,540B,1,9
5B Norte,541B,1,10
5B Norte,542B,2,10
5B Norte,543B,1,11
5B Norte,544B,2,11
5B Norte,545B,1,12
5B Norte,546B,2,12
5B Norte,547B,1,13
5B Norte,548B,1,14
5B Norte,549B,1,15
5B Norte,550B,1,16
5B Norte,551B,2,16
5B Norte,552B,3,17
